Question;Reponse
Your company has a single office in Istanbul and a M365 subscription. The company plans to use conditional access policies to enforce MFA). You need to enforce MFA for all users who work remotely. What should you include in the solution?  @-A. a fraud alert  @-B.  a user risk policy  @-C.  a named location  @-D.  a sign-in user policy ; @-C.  Named Location
You are configuring Microsoft Cloud App Security. You have a custom threat detection policy based on the IP address ranges of your company"s United States-based offices. You receive many alerts related to impossible travel and sign-ins from risky IP addresses. You determine that 99% of the alerts are legitimate sign-ins from your corporate offices. You need to prevent alerts for legitimate sign-ins from known locations. Which two actions should you perform? @-A. Configure automatic data enrichment.  @-B.  Add the IP addresses to the corporate address range category.  @-C.  Increase the sensitivity level of the impossible travel anomaly detection policy.  @-D.  Add the IP addresses to the other address range category and add a tag.  @-E.  Create an activity policy that has an exclusion for the IP addresses ; A - B
You are configuring MDefender for Identity integration with Active Directory. From the MDefender for identity portal, you need to configure several accounts for attackers to exploit. Solution: You add each account as a Sensitive account. Does this meet the goal? Yes or No ? ; No.
You have a M365 tenant that uses Microsoft Exchange Online and MDefender for Office 365. What should you use to identify whether zero-hour auto purge (ZAP) moved an email message from the mailbox of a user? @-A. the Threat Protection Status report in MDefender for Office 365 @-B.  the mailbox audit log in Exchange @-C.  the Safe Attachments file types report in MDefender for Office 365 @-D.  the mail flow report in Exchange ; @-A. the Threat Protection Status report in MDefender for Office 365.
You have a M365 subscription that contains 1,000 W10 devices. The devices have Microsoft Office 365 installed. You need to mitigate the following device threats: Excel macros that download scripts from untrusted websites, Users that open executable attachments in Outlook, Outlook rules and forms exploits, What should you use? @-A. MDefender Antivirus  @-B.  attack surface reduction rules in MDefender for Endpoint  @-C.  Windows Defender Firewall  @-D.  adaptive application control in Azure Defender  ; @-B.  attack surface reduction rules in MDefender for Endpoint.
You have a third-party SIEM solution. You need to ensure that the SIEM solution can generate alerts for AAD (Azure AD) sign-events in near real time. What should you do to route events to the SIEM solution? @-A. Create an Azure Sentinel workspace that has a Security Events connector.  @-B.  Configure the Diagnostics settings in Azure AD to stream to an event hub.  @-C.  Create an Azure Sentinel workspace that has an AAD connector.  @-D.  Configure the Diagnostics settings in Azure AD to archive to a storage account. ; B 
You have a M365 E5 subscription that uses SharePoint Online. You delete users from the subscription. You need to be notified if the deleted users downloaded numerous documents from SharePoint Online sites during the month before their accounts were deleted. What should you use? @-A. a file policy in MDefender for Cloud Apps  @-B.  an access review policy  @-C.  an alert policy in MDefender for Office 365  @-D.  an insider risk policy ; D an Insider risk policy.
You have a M365 subscription that has M365 Defender enabled. You need to identify all the changes made to sensitivity labels during the past seven days. What should you use?  @-A. the Incidents blade of the M365 Defender portal  @-B.  the Alerts settings on the Data Loss Prevention blade of the M365 compliance center  @-C.  Activity explorer in the M365 compliance center  @-D.  the Explorer settings on the Email & collaboration blade of the M365 Defender portal ;  @-C.  Activity explorer in the M365 compliance center.
You have a M365 subscription that uses M365 Defender. You need to identify all the entities affected by an incident. Which tab should you use in the M365 Defender portal?  @-A. Investigations  @-B.  Devices  @-C.  Evidence and Response  @-D.  Alerts ; @-C.  Evidence and Response.
You have a M365 E5 subscription that is linked to a hybrid Azure AD tenant. You need to identify all the changes made to Domain Admins group during the past 30 days. What should you use?  @-A. the Modifications of sensitive groups report in MDefender for Identity  @-B.  the identity security posture assessment in MDefender for Cloud Apps  @-C.  the AAD Provisioning Analysis workbook  @-D.  the Overview settings of Insider risk management  ; @-A. the Modifications of sensitive groups report in MDefender for Identity.
You have a M365 subscription. The subscription uses M365 Defender and has data loss prevention (DLP) policies that have aggregated alerts configured. You need to identify the impacted entities in an aggregated alert. What should you review in the DLP alert management dashboard of the M365 compliance center? @-A. the Events tab of the alert  @-B.  the Sensitive Info Types tab of the alert  @-C.  Management log  @-D.  the Details tab of the alert ; A the Events tab of the alert.
You have a M365 subscription that uses M365 Defender. You plan to create a hunting query from MDefender. You need to create a custom tracked query that will be used to assess the threat status of the subscription.  From the M365 Defender portal, which page should you use to create the query?  @-A. Threat analytics  @-B.  Advanced Hunting  @-C.  Explorer  @-D.  Policies & rules ; @-B.  Advanced Hunting
You have a M365 subscription that uses MDefender for Endpoint. You need to add threat indicators for all the IP addresses in a range of 171.23.34.32-171.23.34.63. The solution must minimize administrative effort. What should you do in the M365 Defender portal?  @-A. Create an import file that contains the individual IP addresses in the range. Select Import and import the file.  @-B.  Create an import file that contains the IP address of 171.23.34.32/27. Select Import and import the file.  @-C.  Select Add indicator and set the IP address to 171.23.34.32-171.23.34.63.  @-D.  Select Add indicator and set the IP address to 171.23.34.32/27. ; @-A. Create an import file that contains the individual IP addresses in the range. Select Import and import the file.
ou have an Azure subscription that uses MDefender for Endpoint. You need to ensure that you can allow or block a user-specified range of IP addressed and URLs. What should you enable first in the Advanced features from the Endpoints Settings in the M365 Defender portal? @-A. custom network indicators  @-B.  live response for servers  @-C.  endpoint detection and response (EDR) in block mode  @-D.  web content filtering  ; A custom network indicators.
Your company has an on-premises network that uses MDefender for Identity.  The Microsoft Secure Score for the company includes a security assessment associated with unsecure Kerberos delegation.  You need remediate the security risk.  What should you do?  @-A. Disable legacy protocols on the computers listed as exposed entities.  @-B.  Enforce LDAP signing on the computers listed as exposed entities.  @-C.  Modify the properties of the computer objects listed as exposed entities.  @-D.  Install the Local Administrator Password Solution (LAPS) extension on the computers listed as exposed entities. ; @-C.  Modify the properties of the computer objects listed as exposed entities.
You have a M365 subscription that uses M365 Defender. A remediation action for an automated investigation quarantines a file across multiple devices. You need to mark the file as safe and remove the file from quarantine on the devices.  What should you use in the M365 Defender portal? @-A. From the History tab in the Action center, revert the actions.  @-B.  From the investigation page, review the AIR processes.  @-C.  From Quarantine from the Review page, modify the rules.  @-D.  From Threat tracker, review the queries.  ; @-A. From the History tab in the Action center, revert the actions.
You have a M365 E5 subscription that uses M365 Defender. You need to review new attack techniques discovered by Microsoft and identify vulnerable resources in the subscription. The solution must minimize administrative effort.  Which blade should you use in the M365 Defender portal?  @-A. Advanced hunting  @-B.  Threat analytics  @-C.  Incidents & alerts  @-D.  Learning hub ; B Threat Analytics.
Current Issues - When the users use the VPN connections, M365 Defender raises a high volume of impossible travel alerts that are false positives.  And, Defender for Identity raises a high volume of Suspected DCSync attack alerts that are false positives. You need to minimize the effort required to investigate the MDefender for Identity false positive alerts. What should you review?  @-A. the status update time  @-B.  the resolution method of the source computer  @-C.  the alert status  @-D.  the certainty of the source computer ; @-D.  the certainty of the source computer.
You have a M365 E5 subscription that uses MDefender 365. You need to ensure that you can investigate threats by using data in the unified audit log of MDefender for Cloud Apps. What should you configure first?  @-A. the User enrichment settings  @-B.  the Azure connector  @-C.  the Office 365 connector  @-D.  the Automatic log upload settings  ; @-C.  The Office 365 connector.
You have an Azure subscription that uses MDefender for Servers Plan 1 and contains a server named Server1. You enable agentless scanning. You need to prevent Server1 from being scanned. The solution must minimize administrative effort.  What should you do?  @-A. Create an exclusion tag.  @-B.  Upgrade the subscription to Defender for Servers Plan 2.  @-C.  Create a governance rule.  @-D.  Create an exclusion group. ; @-A. Create an exclusion tag.
You need to configure Defender for Cloud Apps to generate alerts and trigger remediation actions in response to external sharing of confidential files. Which two actions should you perform in the M365 Defender portal?  @-A. From Settings, select Information Protection, select Azure Information Protection, and then select Only scan files for Azure Information Protection classification labels and content inspection warnings from this tenant.  @-B.  From Cloud apps, select Files, and then filter File Type to Document.  @-C.  From Settings, select Information Protection, select Files, and then enable file monitoring.  @-D.  From Cloud apps, select Files, and then filter App to Office 365.  @-E.  From Cloud apps, select Files, and then select New policy from search.  @-F.  From Settings, select Information Protection, select Azure Information Protection, and then select Automatically scan new files for Azure Information Protection classification labels and content inspection warnings.  ; C - F
You have a M365 E5 subscription that uses MDE. You need to identify any devices that triggered a malware alert and collect evidence related to the alert. The solution must ensure that you can use the results to initiate device isolation for the affected devices.  What should you use in the M365 Defender portal? @-A. incidents  @-B.  Remediation  @-C.  Investigations  @-D.  Advanced hunting  ; @-A. incidents
You have a M365 subscription that uses Microsoft Purview and Microsoft Teams. You have a team named Team1 that has a project named Project1. You need to identify any Project1 files that were stored on the team site of Team1 between February 1, 2023, and February 10, 2023. Which KQL query should you run? @-A. "(c:c)(Project1)(date=(2023-02-01)..date=(2023-02-10))"   @-B.  "AuditLogs | where Timestamp between (datetime(2023-02-01)..datetime(2023-02-10)) | where FileName contains “Project1”"  @-C.  "Project1(c:c)(date=2023-02-01..2023-02-10)"  @-D.  "AuditLogs | where Timestamp > ago(10d) | where FileName contains “Project1”"  ; @-B.  
You have a M365 E5 subscription that uses MDE. You need to create a query that will link the AlertInfo, AlertEvidence, and DeviceLogonEvents tables. The solution must return all the rows in the tables.  Which operator should you use?  @-A. search *  @-B.  union kind = inner  @-C.  join kind = inner  @-D.  evaluate hint.remote =  ; @-B.  union kind = inner
You have a M365 E5 subscription that contains 100 W10 devices. You onboard the devices to MDefender 365. You need to ensure that you can initiate remote shell connections to the onboarded devices from the M365 Defender portal.  What should you do first?  @-A. Modify the permissions for M365 Defender.  @-B.  Create a device group.  @-C.  From Advanced features in the Endpoints settings of the M365 Defender portal, enable automated investigation.  @-D.  Configure role-based access control (RBAC). ; @-D.  Configure role-based access control (RBAC).
You have a M365 E5 subscription that uses Microsoft Teams. You need to perform a content search of Teams chats for a user by using the Microsoft Purview compliance portal. The solution must minimize the scope of the search.  How should you configure the content search for Locations and Keywords ?  Locations : @-A. Exchange mailboxes  @-B.  Exchange public folders  @-C.  Sharepoint Sites  - And Keywords : @-D.  Category  @-E.  ItemClass  @-F.  Kind ; @-A. Exchange Mailboxes and @-F.  Kind
You have a M365 E5 subscription that contains 100 Linux devices. The devices are onboarded to MDefender 365. You need to initiate the collection of investigation packages from the devices by using the M365 Defender portal.  Which response action should you use? @-A. Run antivirus scan  @-B.  Initiate Automated Investigation  @-C.  Collect investigation package  @-D.  Initiate Live Response Session  ; @-C.  Collect investigation package.
You need to configure MDefender for Cloud Apps to generate alerts and trigger remediation actions in response to external sharing of confidential files. Which two actions should you perform in the M365 Defender portal?  @-A. From Settings, select Cloud App, select Microsoft Information Protection, and then select Only scan files for Microsoft Information Protection sensitivity labels and content inspection warnings from this tenant.  @-B.  From Cloud apps, select Files, and then filter File Type to Document.  @-C.  From Settings, select Cloud App, select Microsoft Information Protection, select Files, and then enable file monitoring.  @-D.  From Cloud apps, select Files, and then filter App to Office 365.  @-E.  From Cloud apps, select Files, and then select New policy from search. @-F.  From Settings, select Cloud App, select Microsoft Information Protection, and then select Automatically scan new files for Microsoft Information Protection sensitivity labels and content inspection warnings. ; C - F
You are investigating an incident by using M365 Defender. You need to create an advanced hunting query to count failed sign-in authentications on three devices named CFOLaptop, CEOLaptop, and COOLaptop. How should you complete the query? @-A. "| project LogonFailures=count()" @-B.  "| summarize LogonFailures=count() by DeviceName, LogonType"  @-C.  "| where ActionType == FailureReason"  @-D.  "| where DeviceName in ("CFOLaptop", "CEOLaptop", "COOLaptop")"  @-E.  "AND ActionType == "LogonFailed""  @-F.  "AND ActionType == FailureReason"  @-G.  "DeviceEvents"  @-H.  "DeviceLogonEvents"  ; H > D > E > B  : "DeviceLogonEvents | where DeviceName in ("CFOLaptop", "CEOLaptop", "COOLaptop") AND ActionType == "LogonFailed" | summarize LogonFailures=count() by DeviceName, LogonType"
Your company uses line-of-business apps that contain Microsoft Office VBA macros. You need to prevent users from downloading and running additional payloads from the Office VBA macros as additional child processes. Which two commands can you run to achieve the goal?  @-A. Add-mppreference -attacksurfacereductionrules_Ids D4F940AB -401B -4EFC -AADC -AD5F3C50688A -Attacksurfacereductionrules_actions Enabled   @-B.  Set-mppreference -attacksurfacereductionrules_Ids D4F940AB -401B -4EFC -AADC -AD5F3C50688A -Attacksurfacereductionrules_actions AuditMode   @-C.   Add-mppreference -attacksurfacereductionrules_Ids D4F940AB -401B -4EFC -AADC -AD5F3C50688A -Attacksurfacereductionrules_actions AuditMode  @-D.  Set-mppreference -attacksurfacereductionrules_Ids D4F940AB -401B -4EFC -AADC -AD5F3C50688A -Attacksurfacereductionrules_actions Enabled  ; A - D (You need to enable the rule to prevent)
You open the Cloud App Security portal and have Launchpad app at score 3. Your environment does NOT have MDE enabled. You need to remediate the risk for the Launchpad app. Which four actions should you perform in sequence?  @-A. Tag the app as UNSANCTIONNED  @-B.  Run the script on the source appliance  @-C.  Run the script in Azure Cloud Shell  @-D.  Select the app  @-E.  Tag the app as SANCTIONNED  @-F.  Generate a block script ; D > A > F > B 
You have a M365 E5 subscription. You plan to perform cross-domain investigations by using M365 Defender. You need to create an advanced hunting query to identify devices affected by a malicious email attachment. How should you complete the query?  (Select one answer for each [xxx/xxx/xxx]) : "EmailAttachmentInfo | where SenderFromAddress =~ "MaliciousSender@exemple.com" | where isnoempty (SHA256) | [extend/join/project/union] (DeviceFileEvents | [extend/join/project/union] Filename, SHA256) on SHA256 | [extend/join/project/union] Timestam, FileName, SHA256, DeviceName DeviceID, NetworkMessageId, SenderFromAddress, RecipientEmailAddress" ; join - project - project
You have the following advanced hunting query in M365 Defender : "DeviceProcessEvents | where Timestamp > ago (24h) and IntiatingProcessFilename =~ "runsll32.exe" and InitiatingProcessCommandLine !contains " " and InitiatingProcessCommandLine != "" and Filename in~ ("schtasks.exe") and ProcessCommandLine has "Change" and ProcessCommandLine has "SystemRestore" and ProcessCommandLine has "disable" | project Timestamp, AccountName, ProcessCommandLine", You need to receive an alert when any process disables System Restore on a device managed by MDefender during the last 24 hours. Which two actions should you perform?  @-A. Create a detection rule.  @-B.  Create a suppression rule.  @-C.  Add | order by Timestamp to the query.  @-D.  Replace DeviceProcessEvents with DeviceNetworkEvents.  @-E.  Add DeviceId and ReportId to the output of the query. ; A - E
You are informed of an increase in malicious email being received by users. You need to create an advanced hunting query in M365 Defender to identify whether the accounts of the email recipients were compromised. The query must return the most recent 20 sign-ins performed by the recipients within an hour of receiving the known malicious email. How should you complete the query?  "let maliciousEmails = [EmailAttachmentInfo /EmailEvents /IdentityLogonEvents] ...... MaliciousEmails | join ([EmailAttachmentInfo /EmailEvents /IdentityLogonEvents] | project LogonTime = Timestamp, AccountName, DeviceName) on AccountName | where (LogonTime - TimeEmail) between (0min..60min) | [select 20 /take 20/ top20]" ; EmailEvents - IdentityLogonEvents - take 20
You have a M365 E5 subscription that uses MDefender and an Azure subscription that uses Azure Sentinel. You need to identify all the devices that contain files in emails sent by a known malicious email sender. The query will be based on the match of the SHA256 hash. How should you complete the query? "EmailAttachmentInfo | where SenderFromAddress =~ "MaliciousSender@exemple.com" where isnotempty ([DeviceID /RecipientEmailAddress /SenderFromAddress /SHA256]) | join (DeviceFileEvents | project FileName, SHA256) on [DeviceID /RecipientEmailAddress /SenderFromAddress /SHA256] | project Timestamp, FileName, SHA256, DeviceName, DeviceID, NetworkMessageId, SenderFromAddress, RecipientEmailAddress" ; SHA256 - SHA256
You purchase a M365 subscription. You plan to configure Microsoft Cloud App Security. You need to create a custom template-based policy that detects connections to M365 apps that originate from a botnet network. What should you use? (2 answers) Policy template type : @-A. Access Policy  @-B.  Activity Policy  @-C.  Anomaly detection policy  AND Filter based on : @-D.  IP Address tag @-E.  Source @-F.  User agent string  ; @-B.  Activy Policy and @-D.  IP Address Tag.
You have an Azure subscription linked to an AAD (Azure AD) tenant. The tenant contains two users named User1 and User2. You plan to deploy Azure Defender. You need to enable User1 and User2 to perform tasks at the subscription level as shown : User1 = Assign Initiatives, Edit Security Policies, Enable automatic provisionning. User2 = View alerts and recommendations, Apply security recommendations, dismiss alerts.  The solution must use the principle of least privilege. Which role should you assign to each user? Contributor, Owner, Security Admin, Security reader ? ; User1 = Owner, User2 = Contributor.
You have a M365 E5 subscription that contains 200 W10 devices enrolled in MDE. You need to ensure that users can access the devices by using a remote shell connection directly from the M365 Defender portal. The solution must use the principle of least privilege. What should you do in the M365 Defender portal?  To configure MDE : @-A. Turn on EDR in block mode  @-B.  Turn on Live response @-C.  Turn off Tamper Protection @- To configure the devices : @-D.  Add a network assessment job  @-E.  Create a device group that contains the devices and set Automation level to Full  @-F.  Create a device group that contains the devices and set Automation level to No automated response. ; @-B.  Turn on Live Response - @-E.  Create a device group that contains the devices and set Automation level to Full.
You have a M365 subscription that uses M365 Defender and contains a user named User1. You are notified that the account of User1 is compromised. You need to review the alerts triggered on the devices to which User1 signed in. How should you complete the query?  "DeviceInfo |where LoggedOnUsers contains "user1" | distinct DeviceID | [extend /join /project] kind=inner AlertEvidence on DeviceID | project AlertID | join AlertInfo on AlertID | [project /summarize /take] AlertID, Timestamp, Title, Severity, Category" ; Join - Project
You have an Azure subscription that contains the users shown : User1 = Security Admin, User2 = Security Reader, User3 = Contributor. You need to delegate the following tasks: -Enable MDefender for Servers on virtual machines. -Review security recommendations and enable server vulnerability scans. The solution must use the principle of least privilege. Which user should perform each task?  @-A. Enable Defender for Servers on Virtual Machines  @-B.  Review Security recommendations and enable server vulnerability scans. ; A = user1 , B= User3
You have a M365 E5 subscription. You need to create a hunting query that will return every email that contains an attachment named Document.pdf. @- The query must meet the following requirements: @- -Only show emails sent during the last hour. @- -Optimize query performance. @- How should you complete the query? @- "EmailAttachmentInfo | @-  A. Join DeviceFileEvents on SHA256 @-  B. join kind=inner (DeviceFileEvents |where Timestamp > ago(1h)) on SHA256 @-  C. where Timestamp > ago(1h) @-  D. where Timestamp < ago(1h)  @- | where Subject == "Document Attachment" and FileName == "Document.pdf" @- | @- A.  Join DeviceFileEvents on SHA256 @-  B. join kind=inner (DeviceFileEvents |where Timestamp > ago(1h)) on SHA256 @-  C. where Timestamp > ago(1h) @-  D. where Timestamp < ago(1h) ; where Timestamp > ago(1h)  -  join kind=inner (DeviceFileEvents |where Timestamp > ago(1h)) on SHA256 
You have a M365 E5 subscription that uses MDefender 365. Your network contains an on-premises AD DS domain that syncs with Azure AD. You need to identify the 100 most recent sign-in attempts recorded on devices and AD DS domain controllers. How should you complete the KQL query? "DeviceLogonEvents | extend Table = "Table1" | take 100 | [IdentityInfo // IdentityLogonEvents // IdentityQueryEvents]  ( [join kind = full other // join kind = inner // union] | extend Table = "Table2" |take 100) | project-reorder Timestamp, ....... ;  IdentityLogonEvents  - Union
You have a M365 E5 subscription that uses MDefender 365. Your network contains an on-premises AD DS domain that syncs with Azure AD. You need to identify LDAP requests by AD DS users to enumerate AD DS objects. How should you complete the KQL query?  " [IdentityDirectoryEvents // IdentityInfo // IdentityQueryEvents ] | where [contains // has // isnotempty] (AccountSid) "  ; IdentityQueryEvents - isnotempty 
You have a custom detection rule that includes the following KQL query : "AlertInfo | where Severity == "High" | distinct AlertId | join AlertEvidence on AlertId | where EntityType in ("User", "Mailbox") | where EvidenceRole == "Impacted" | summarize by Timestamp, AlertId, AccountName, AccountObjectId, EntityType, DeviceId, SHA256 | join EmailEvents on $left.AccountObjectId == $right.RecipientObjectId | where DeliveryAction == "Delivered" | summarize by Timestamp, AlertId, ReportId, RecipientObjectId, RecipientEmailAddress, EntityType, DeviceId, SHA256"" , For each of the following statements, select Yes if True. Otherwise, select No :   @-A. The custom detection rule can be used to automate the deletion of email messages from a user"s mailbox based on the RecipientEmailAddress column.  @-B.  The custom detection rule can be used to restrict app execution automatically based on the DeviceId column.  @-C.  The custom detection rule can be used to automate the deletion of a file based on the SHA256 column. ; @-A. Yes , @-B.  No , @-C.  No
Your network contains an on-premises AD DS (AD DS) domain that syncs with Azure AD. You have a M365 E5 subscription that uses MDefender 365. You need to identify all the interactive authentication attempts by the users in the finance department of your company. How should you complete the KQL query?  "[BehaviorAnalytics // IdentityInfo // IdentityQueryEvents] | where Department == "Finance" | project-rename objid = AccountObjectId | join [ AuditLogs // IdentityLogonEvents // SigninLogs] on $left.objid == $right.AccountObjectId " ; IdentityInfo - IdentityLogonEvents 
You have a M365 E5 subscription that uses Microsoft Purview and contains a user named User1. User1 shares a Microsoft Power BI report file from the Microsoft OneDrive folder of your company to an external user by using Microsoft Teams. You need to identify which Power BI report file was shared. How should you configure the search?  @-A. Activities : [Copied file // Downloaded files to computer // Share file, folder, or site // Shared power Bi report], @-B.  Record type : [Microsoft Teams // Onedrive // PowerbiAudit // Shared power bi report], @-C.  Workload : [Microsoft Teams // Onedrive // Sharepoint // powerbi] ; @-A. Share file, folder or site - @-B.  Microsoft Teams or OneDrive - @-C.  OneDrive
Case study ... You need to configure DC1 to meet the business requirements. Which three actions should you perform in sequence? @-A. Provide domain administrator credentials to the litware.com AD domain.  @-B.  Create an instance of Defender for identity  @-C.  Provide global admin credentials to the litware.com AAD tenant  @-D.  Install the sensor on DC1  @-E.  Install the standalone sensor on DC1  ? ; B > A > D 
You have a M365 E5 subscription that uses MDE. You need to create a detection rule that meets the following requirements: -Is triggered when a device that has critical software vulnerabilities was active during the last hour  -Limits the number of duplicate results.  How should you complete the KQL query?  "DeviceTvmSoftwareVulnerabilities | where VulnerabilitySeverityLevel == "Critical" | [ distinct CveId // distinct DeviceID // project-away CveId // project-keep DeviceId] | join kind=inner DeviceInfo on DeviceId | where Timestamp between (now(-1h)..now()) | [distinct DeviceID // distinct DeviceId, ReportId // project Timestamp, DeviceId, ReportId // summarize count() by DeviceId, ReportId]" ; distinct DeviceId  --  project Timestamp, DeviceID, ReportId
